n_type_n,p_type_p,a,h,R,T_h,eta,mc_p,mDOS_p,tau_eff_p,n_i_p,eta_F_p,E_g_p,mDOS_min_p,kappa_L_300_p,Cp_p,rho_p,epsilon_p,mc_n,mDOS_n,tau_eff_n,n_i_n,eta_F_n,E_g_n,mDOS_min_n,kappa_L_300_n,Cp_n,rho_n,epsilon_n
1,30,1.0,2.0,0.032,848,0.730990856,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
1,30,1.0,2.0,0.032,754,0.580798946,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
1,30,1.0,2.0,0.032,494,0.21468753,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
1,30,1.0,2.0,0.117,848,1.908316729,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
1,30,1.0,2.0,0.117,754,1.507113912,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
1,30,1.0,2.0,0.117,494,0.538506191,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
1,30,1.0,2.0,2.544,848,1.440100409,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
1,30,1.0,2.0,2.544,754,1.101990042,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
1,30,1.0,2.0,2.544,494,0.338106346,0.39,1.79,3.84838336503057,4.7016185978603e+20,0.14,0.305899999999999,3.45,2.4,280.0,6940,19.74,1.42,4.31,21.3695576268628,4.58179859263369e+18,-0.1,1.1474,7.8,11.5,172.5,9540,17.51
35,23,1.0,1.0,0.041,552,1.038654619,1.64,6.11,19.047385477244,3.53565191936321e+19,-0.06,0.4567,2.43,4.5,330.0,7230,22.92,1.59,4.36,12.2323035069427,4.47981445987919e+19,-0.04,1.0726,6.63,22.0,240.0,7140,17.87
