mc_n,mDOS_n,tau_eff_n,n_i_n,eta_F_n,E_g_n,mDOS_min_n,kappa_L_300_n,Cp_n,rho_n,epsilon_n,mc_p,mDOS_p,tau_eff_p,n_i_p,eta_F_p,E_g_p,mDOS_min_p,kappa_L_300_p,Cp_p,rho_p,epsilon_p,a,h,R,T_h,eta
1.42,4.31,23.98562434,4.58e+18,-0.1,1.1474,7.8,11.5,175,9540,17.51,0.39,1.79,5.061179894,4.7e+20,0.14,0.3059,3.45,2.4,280,6940,19.74,1.0,2.0,2.544,494,0.338106346
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,0.041,552,1.038654619
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,0.041,695,1.790292021
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,0.041,877,2.633083676
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,0.075,552,1.302247061
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,0.075,695,2.261154235
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,0.075,877,3.268036578
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,4.305,552,0.150969522
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,4.305,695,0.274108179
1.59,4.36,11.85546221,4.48e+19,-0.04,1.0726,6.63,22.0,240,7140,17.87,1.64,6.11,27.19020567,3.54e+19,-0.06,0.4567,2.43,4.5,330,7230,22.92,1.0,1.0,4.305,877,0.360606844
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,0.014,439,1.272024978
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,0.014,614,3.571245918
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,0.014,837,6.964736513
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,0.076,439,0.398455469
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,0.076,614,1.220798757
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,0.076,837,2.645352421
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,4.259,439,0.008181272
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,4.259,614,0.025817194
0.58,1.94,11.55670645,5.08e+19,0.0,0.5149,4.49,10.0,320,7620,20.9,1.05,5.07,9.875921194,5.16e+20,0.08,0.533872924,0.92,17.5,315,8450,48.659,4.0,8.0,4.259,837,0.05818115
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,0.048,486,2.017420067
1.44,4.49,12.58978379,4.67e+19,-0.04,1.004,6.59,9.0,210,9830,20.37,1.4,6.59,11.45436161,3.99e+19,-0.06,1.004,4.49,9.0,210,9830,20.37,4.0,8.0,0.048,713,4.535335844
